year,month,day,discharge
1993,1,1,6758.334
1993,1,2,6338.145
1993,1,3,6158.064
1993,1,4,10847.232
1993,1,5,11366.289
1993,1,6,12040.71
1993,1,7,10970.817
1993,1,8,9763.215
1993,1,9,8541.489
1993,1,10,7651.677
1993,1,11,6768.927
1993,1,12,6045.072
1993,1,13,5490.705
1993,1,14,4999.896
1993,1,15,4593.831
1993,1,16,4258.386
1993,1,17,4131.27
1993,1,18,3862.914
1993,1,19,3933.534
1993,1,20,3569.841
1993,1,21,3313.8435
1993,1,22,3288.7734
1993,1,23,3562.779
1993,1,24,3771.108
1993,1,25,3859.383
1993,1,26,3919.41
1993,1,27,4258.386
1993,1,28,5338.872
1993,1,29,5232.942
1993,1,30,4886.904
1993,1,31,6546.474
1993,2,1,6850.14
1993,2,2,6189.843
1993,2,3,6253.401
1993,2,4,6136.878
1993,2,5,7277.391
1993,2,6,7040.814
1993,2,7,6359.331
1993,2,8,5529.546
1993,2,9,4943.4
1993,2,10,4526.742
1993,2,11,4095.96
1993,2,12,3968.844
1993,2,13,3742.86
1993,2,14,3521.8194
1993,2,15,3473.7978
1993,2,16,3242.1642
1993,2,17,2957.2125
1993,2,18,2717.8107
1993,2,19,2610.4683
1993,2,20,2485.824
1993,2,21,2311.0395
1993,2,22,2172.9774
1993,2,23,2159.2065
1993,2,24,2073.0501
1993,2,25,2014.0824
1993,2,26,1907.4462
1993,2,27,1849.8909
1993,2,28,1817.7588
1993,3,1,1935.3411
1993,3,2,2536.6704
1993,3,3,4766.85
1993,3,4,5624.883
1993,3,5,5974.452
1993,3,6,6327.552
1993,3,7,6415.827
1993,3,8,6560.598
1993,3,9,6698.307
1993,3,10,6853.671
1993,3,11,6645.342
1993,3,12,6147.471
1993,3,13,5804.964
1993,3,14,5165.853
1993,3,15,4833.939
1993,3,16,4678.575
1993,3,17,4554.99
1993,3,18,4120.677
1993,3,19,3961.782
1993,3,20,3908.817
1993,3,21,3919.41
1993,3,22,4131.27
1993,3,23,4957.524
1993,3,24,4862.187
1993,3,25,5105.826
1993,3,26,5819.088
1993,3,27,7086.717
1993,3,28,10900.197
1993,3,29,13329.525
1993,3,30,15179.769
1993,3,31,14773.704
1993,4,1,15582.303
1993,4,2,15077.37
1993,4,3,14289.957
1993,4,4,14236.992
1993,4,5,12715.131
1993,4,6,12810.468
1993,4,7,11885.346
1993,4,8,10504.725
1993,4,9,9410.115
1993,4,10,8481.462
1993,4,11,7757.607
1993,4,12,7418.631
1993,4,13,6684.183
1993,4,14,6235.746
1993,4,15,5822.619
1993,4,16,5999.169
1993,4,17,5956.797
1993,4,18,5797.902
1993,4,19,6595.908
1993,4,20,14011.008
1993,4,21,15458.718
1993,4,22,17478.45
1993,4,23,16782.843
1993,4,24,16316.751
1993,4,25,16616.886
1993,4,26,15642.33
1993,4,27,14236.992
1993,4,28,12895.212
1993,4,29,12407.934
1993,4,30,12725.724
1993,5,1,12972.894
1993,5,2,12439.713
1993,5,3,12015.993
1993,5,4,11023.782
1993,5,5,12379.686
1993,5,6,12386.748
1993,5,7,12256.101
1993,5,8,11034.375
1993,5,9,10035.102
1993,5,10,8915.775
1993,5,11,8206.044
1993,5,12,7266.798
1993,5,13,6775.989
1993,5,14,6172.188
1993,5,15,5702.565
1993,5,16,5155.26
1993,5,17,4728.009
1993,5,18,4424.343
1993,5,19,4166.58
1993,5,20,3940.596
1993,5,21,3636.93
1993,5,22,3501.3396
1993,5,23,3654.585
1993,5,24,3534.531
1993,5,25,3312.078
1993,5,26,3086.094
1993,5,27,3040.191
1993,5,28,2901.0696
1993,5,29,2660.2554
1993,5,30,2498.8887
1993,5,31,3235.1022
1993,6,1,3051.1371
1993,6,2,3107.6331
1993,6,3,3422.9514
1993,6,4,3248.1669
1993,6,5,3223.0968
1993,6,6,3055.7274
1993,6,7,2981.9295
1993,6,8,3389.0538
1993,6,9,3654.585
1993,6,10,3905.286
1993,6,11,3997.092
1993,6,12,4152.456
1993,6,13,4050.057
1993,6,14,3997.092
1993,6,15,3993.561
1993,6,16,4159.518
1993,6,17,4046.526
1993,6,18,4159.518
1993,6,19,5229.411
1993,6,20,8107.176
1993,6,21,9978.606
1993,6,22,9886.8
1993,6,23,9427.77
1993,6,24,8615.64
1993,6,25,9049.953
1993,6,26,8400.249
1993,6,27,7506.906
1993,6,28,6783.051
1993,6,29,5967.39
1993,6,30,5444.802
1993,7,1,4939.869
1993,7,2,4664.451
1993,7,3,4170.111
1993,7,4,3820.542
1993,7,5,3640.461
1993,7,6,3689.895
1993,7,7,3461.4393
1993,7,8,3243.5766
1993,7,9,3081.8568
1993,7,10,2846.6922
1993,7,11,2611.8807
1993,7,12,2475.5841
1993,7,13,2377.4223
1993,7,14,2293.0314
